u,v,shape_id,direction_id,headsign,duration_avg,n_vehicles,d,route_I_counts
48,61,{'51762': 136},{'1': 136},{'STATION SNOWDON': 136},76.0,136,625,{4: 136}
48,60,{'51763': 138},{'0': 138},{'STATION SAINT-MICHEL': 138},91.0,138,957,{4: 138}
49,48,{'20236': 169},{'1': 169},{'STATION CÔTE-VERTU': 169},99.0,169,1246,{2: 169}
49,50,{'20237': 179},{'0': 179},{'STATION MONTMORENCY': 179},87.0,179,864,{2: 179}
50,49,{'20236': 169},{'1': 169},{'STATION CÔTE-VERTU': 169},92.0,169,864,{2: 169}
50,51,{'20237': 180},{'0': 180},{'STATION MONTMORENCY': 180},119.0,180,1421,{2: 180}
51,50,{'20236': 168},{'1': 168},{'STATION CÔTE-VERTU': 168},152.0,168,1421,{2: 168}
51,52,{'20237': 180},{'0': 180},{'STATION MONTMORENCY': 180},116.0,180,1072,{2: 180}
52,51,{'20236': 168},{'1': 168},{'STATION CÔTE-VERTU': 168},90.0,168,1072,{2: 168}
52,53,{'20237': 181},{'0': 181},{'STATION MONTMORENCY': 181},110.0,181,1220,{2: 181}
53,52,{'20236': 168},{'1': 168},{'STATION CÔTE-VERTU': 168},106.0,168,1220,{2: 168}
53,54,{'20237': 181},{'0': 181},{'STATION MONTMORENCY': 181},154.0,181,2112,{2: 181}
54,53,{'20236': 167},{'1': 167},{'STATION CÔTE-VERTU': 167},153.0,167,2112,{2: 167}
54,55,{'20237': 182},{'0': 182},{'STATION MONTMORENCY': 182},117.0,182,1049,{2: 182}
55,54,{'20236': 167},{'1': 167},{'STATION CÔTE-VERTU': 167},75.0,167,1049,{2: 167}
56,57,{'40025': 113},{'0': 113},{'STATION BERRI-UQAM': 113},130.0,113,1632,{3: 113}
57,56,{'40024': 114},{'1': 114},{'STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE': 114},154.0,114,1632,{3: 114}
57,12,{'40025': 114},{'0': 114},{'STATION BERRI-UQAM': 114},215.0,114,2196,{3: 114}
58,59,{'51762': 136},{'1': 136},{'STATION SNOWDON': 136},50.0,136,679,{4: 136}
59,60,{'51762': 136},{'1': 136},{'STATION SNOWDON': 136},77.0,136,900,{4: 136}
59,58,{'51763': 138},{'0': 138},{'STATION SAINT-MICHEL': 138},105.0,138,679,{4: 138}
60,59,{'51763': 138},{'0': 138},{'STATION SAINT-MICHEL': 138},76.0,138,900,{4: 138}
60,48,{'51762': 136},{'1': 136},{'STATION SNOWDON': 136},90.0,136,957,{4: 136}
61,62,{'51762': 137},{'1': 137},{'STATION SNOWDON': 137},67.0,137,690,{4: 137}
61,48,{'51763': 137},{'0': 137},{'STATION SAINT-MICHEL': 137},67.0,137,625,{4: 137}
62,63,{'51762': 137},{'1': 137},{'STATION SNOWDON': 137},90.0,137,754,{4: 137}
62,61,{'51763': 137},{'0': 137},{'STATION SAINT-MICHEL': 137},65.0,137,690,{4: 137}
63,64,{'51762': 137},{'1': 137},{'STATION SNOWDON': 137},182.0,137,1711,{4: 137}
63,62,{'51763': 137},{'0': 137},{'STATION SAINT-MICHEL': 137},91.0,137,754,{4: 137}
64,65,{'51762': 137},{'1': 137},{'STATION SNOWDON': 137},76.0,137,839,{4: 137}
64,63,{'51763': 137},{'0': 137},{'STATION SAINT-MICHEL': 137},175.0,137,1711,{4: 137}
65,66,{'51762': 137},{'1': 137},{'STATION SNOWDON': 137},83.0,137,833,{4: 137}
65,64,{'51763': 136},{'0': 136},{'STATION SAINT-MICHEL': 136},76.0,136,839,{4: 136}
66,65,{'51763': 136},{'0': 136},{'STATION SAINT-MICHEL': 136},85.0,136,833,{4: 136}
66,33,{'51762': 138},{'1': 138},{'STATION SNOWDON': 138},94.0,138,1318,{4: 138}
