u,v,veh,avg_wait,edge_color
12,0,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,2,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,3,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,4,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,5,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,6,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,7,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,8,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,9,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,10,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,11,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
12,13,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,14,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,15,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,16,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,17,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,18,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,19,"{1: {'1': 8.894736842105264}, 2: {'1': 9.0}}",1.6764705882352942,#000000
12,20,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,21,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,22,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,23,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,24,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,25,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,26,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
12,43,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,44,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,45,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,46,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,47,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,48,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,49,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,50,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,51,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,52,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,53,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,54,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,55,{2: {'0': 9.263157894736842}},3.2386363636363633,#D95700
12,42,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,36,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,28,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,27,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,29,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,30,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,31,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,32,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,33,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,34,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,35,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,37,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,38,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,39,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,40,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,41,{2: {'1': 9.0}},3.3333333333333335,#D95700
12,57,{3: {'1': 5.947368421052632}},5.044247787610619,#FFD900
12,56,{3: {'1': 5.947368421052632}},5.044247787610619,#FFD900
13,1,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,0,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,2,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,3,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,4,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,5,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,6,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,7,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,8,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,9,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,10,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,11,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,12,{1: {'0': 9.052631578947368}},3.313953488372093,#00B300
13,14,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,15,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,16,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,17,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,18,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,19,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,20,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,21,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,22,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,23,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,24,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
13,25,{1: {'1': 8.894736842105264}},3.3727810650887573,#00B300
